1, 000418, 104, 121, PRSH, 1619, 10, 161.900000, ZIP, 847, 10, 84.700000, 104, 121, 
1, 000420, 92, 121, PRSH, 1652, 10, 165.200000, ZIP, 847, 10, 84.700000, 92, 121, 
1, 000421, 82, 116, PRSH, 1678, 10, 167.800000, ZIP, 854, 10, 85.400000, 82, 116, 
1, 000422, 84, 126, PRSH, 1678, 10, 167.800000, ZIP, 909, 10, 90.900000, 84, 126, 
1, 000423, 97, 133, PRSH, 1702, 10, 170.200000, ZIP, 952, 10, 95.200000, 97, 133, 
1, 000450, None, None, PRSH, 1737, 10, 173.700000, ZIP, 973, 10, 97.300000, N, N, 
1, 000452, 109, 237, PRSH, 1749, 10, 174.900000, ZIP, 1027, 10, 102.700000, 109, 237, 
1, 000481, 113, 137, PRSH, 1751, 10, 175.100000, ZIP, 1058, 10, 105.800000, 113, 137, 
1, 000483, 113, 136, PRSH, 1771, 10, 177.100000, ZIP, 1072, 10, 107.200000, 113, 136, 
1, 000500, 113, 126, PRSH, 1771, 10, 177.100000, ZIP, 1072, 10, 107.200000, 113, 126, 
