Trd, 004481.917, 150.0
Trd, 004483.000, 130.0
Trd, 004483.750, 110.0
Trd, 004516.500, 150.0
Trd, 004541.083, 150.0
Trd, 004541.583, 130.0
Trd, 004542.667, 110.0
Trd, 004570.250, 150.0
Trd, 004571.333, 130.0
Trd, 004573.583, 110.0
Trd, 004602.167, 150.0
Trd, 004603.167, 130.0
Trd, 004604.417, 110.0
Trd, 004626.667, 150.0
Trd, 004627.667, 130.0
Trd, 004628.667, 110.0
Trd, 004631.917, 70
Trd, 004657.500, 150.0
Trd, 004658.333, 130.0
Trd, 004659.417, 110.0
Trd, 004664.167, 70.0
Trd, 004686.250, 150.0
Trd, 004687.083, 130.0
Trd, 004688.583, 110.0
Trd, 004691.000, 70.0
Trd, 004695.083, 86.0
Trd, 004715.333, 150.0
Trd, 004715.833, 130.0
Trd, 004717.667, 110.0
Trd, 004725.667, 70.0
Trd, 004743.083, 150.0
Trd, 004743.500, 130.0
Trd, 004745.250, 110.0
Trd, 004751.333, 70
Trd, 004770.917, 150.0
Trd, 004771.583, 130.0
Trd, 004773.333, 110.0
Trd, 004778.750, 90
Trd, 004799.917, 150.0
Trd, 004801.167, 130.0
Trd, 004801.833, 110.0
Trd, 004828.917, 150.0
Trd, 004829.333, 130.0
Trd, 004830.250, 110.0
Trd, 004831.583, 77
Trd, 004858.667, 150.0
Trd, 004858.833, 130.0
Trd, 004859.917, 110.0
Trd, 004862.750, 79.0
Trd, 004885.917, 150.0
Trd, 004886.500, 130.0
Trd, 004887.083, 110.0
Trd, 004889.000, 70.0
Trd, 004914.917, 130.0
Trd, 004916.167, 110.0
Trd, 004917.083, 110.0
Trd, 004942.667, 150.0
Trd, 004943.500, 130.0
Trd, 004943.583, 110.0
Trd, 004972.750, 150.0
Trd, 004973.000, 130.0
Trd, 004973.083, 110.0
Trd, 004974.750, 86
Trd, 004976.833, 70.0
