1, 000091, 101, 109, GVWY, 263, 10, 26.300000, PRSH, 280, 10, 28.000000, SHVR, 267, 10, 26.700000, ZIC, 86, 10, 8.600000, ZIP, 279, 10, 27.900000, 101, 109, 
1, 000091, 100, 109, GVWY, 263, 10, 26.300000, PRSH, 280, 10, 28.000000, SHVR, 267, 10, 26.700000, ZIC, 138, 10, 13.800000, ZIP, 302, 10, 30.200000, 100, 109, 
1, 000091, 94, 109, GVWY, 313, 10, 31.300000, PRSH, 280, 10, 28.000000, SHVR, 317, 10, 31.700000, ZIC, 138, 10, 13.800000, ZIP, 302, 10, 30.200000, 94, 109, 
1, 000093, 101, 104, GVWY, 313, 10, 31.300000, PRSH, 280, 10, 28.000000, SHVR, 317, 10, 31.700000, ZIC, 138, 10, 13.800000, ZIP, 352, 10, 35.200000, 101, 104, 
1, 000095, 94, 100, GVWY, 313, 10, 31.300000, PRSH, 326, 10, 32.600000, SHVR, 337, 10, 33.700000, ZIC, 138, 10, 13.800000, ZIP, 352, 10, 35.200000, 94, 100, 
1, 000098, 94, 99, GVWY, 313, 10, 31.300000, PRSH, 364, 10, 36.400000, SHVR, 337, 10, 33.700000, ZIC, 138, 10, 13.800000, ZIP, 385, 10, 38.500000, 94, 99, 
1, 000098, 94, 105, GVWY, 313, 10, 31.300000, PRSH, 381, 10, 38.100000, SHVR, 337, 10, 33.700000, ZIC, 138, 10, 13.800000, ZIP, 426, 10, 42.600000, 94, 105, 
1, 000098, 77, 105, GVWY, 313, 10, 31.300000, PRSH, 400, 10, 40.000000, SHVR, 337, 10, 33.700000, ZIC, 138, 10, 13.800000, ZIP, 427, 10, 42.700000, 77, 105, 
1, 000113, 75, 105, GVWY, 313, 10, 31.300000, PRSH, 438, 10, 43.800000, SHVR, 337, 10, 33.700000, ZIC, 171, 10, 17.100000, ZIP, 427, 10, 42.700000, 75, 105, 
1, 000120, None, 137, GVWY, 314, 10, 31.400000, PRSH, 438, 10, 43.800000, SHVR, 337, 10, 33.700000, ZIC, 171, 10, 17.100000, ZIP, 435, 10, 43.500000, N, 137, 
1, 000120, 104, 137, GVWY, 314, 10, 31.400000, PRSH, 438, 10, 43.800000, SHVR, 337, 10, 33.700000, ZIC, 171, 10, 17.100000, ZIP, 443, 10, 44.300000, 104, 137, 
1, 000120, 96, 137, GVWY, 314, 10, 31.400000, PRSH, 438, 10, 43.800000, SHVR, 337, 10, 33.700000, ZIC, 171, 10, 17.100000, ZIP, 489, 10, 48.900000, 96, 137, 
1, 000120, 106, 136, GVWY, 339, 10, 33.900000, PRSH, 438, 10, 43.800000, SHVR, 337, 10, 33.700000, ZIC, 171, 10, 17.100000, ZIP, 489, 10, 48.900000, 106, 136, 
1, 000120, 96, 136, GVWY, 395, 10, 39.500000, PRSH, 438, 10, 43.800000, SHVR, 337, 10, 33.700000, ZIC, 171, 10, 17.100000, ZIP, 512, 10, 51.200000, 96, 136, 
1, 000121, 95, 107, GVWY, 415, 10, 41.500000, PRSH, 438, 10, 43.800000, SHVR, 337, 10, 33.700000, ZIC, 171, 10, 17.100000, ZIP, 513, 10, 51.300000, 95, 107, 
1, 000121, 94, 105, GVWY, 415, 10, 41.500000, PRSH, 479, 10, 47.900000, SHVR, 358, 10, 35.800000, ZIC, 171, 10, 17.100000, ZIP, 513, 10, 51.300000, 94, 105, 
1, 000121, 94, 105, GVWY, 415, 10, 41.500000, PRSH, 479, 10, 47.900000, SHVR, 383, 10, 38.300000, ZIC, 171, 10, 17.100000, ZIP, 550, 10, 55.000000, 94, 105, 
1, 000122, 99, 108, GVWY, 415, 10, 41.500000, PRSH, 512, 10, 51.200000, SHVR, 383, 10, 38.300000, ZIC, 171, 10, 17.100000, ZIP, 588, 10, 58.800000, 99, 108, 
1, 000123, 103, 109, GVWY, 415, 10, 41.500000, PRSH, 537, 10, 53.700000, SHVR, 383, 10, 38.300000, ZIC, 171, 10, 17.100000, ZIP, 588, 10, 58.800000, 103, 109, 
1, 000124, 103, 109, GVWY, 415, 10, 41.500000, PRSH, 558, 10, 55.800000, SHVR, 387, 10, 38.700000, ZIC, 171, 10, 17.100000, ZIP, 588, 10, 58.800000, 103, 109, 
1, 000129, 94, 109, GVWY, 415, 10, 41.500000, PRSH, 558, 10, 55.800000, SHVR, 429, 10, 42.900000, ZIC, 225, 10, 22.500000, ZIP, 588, 10, 58.800000, 94, 109, 
1, 000134, 75, 109, GVWY, 415, 10, 41.500000, PRSH, 577, 10, 57.700000, SHVR, 429, 10, 42.900000, ZIC, 225, 10, 22.500000, ZIP, 589, 10, 58.900000, 75, 109, 
1, 000146, 75, 114, GVWY, 415, 10, 41.500000, PRSH, 591, 10, 59.100000, SHVR, 429, 10, 42.900000, ZIC, 225, 10, 22.500000, ZIP, 600, 10, 60.000000, 75, 114, 
1, 000150, 104, 370, GVWY, 428, 10, 42.800000, PRSH, 591, 10, 59.100000, SHVR, 429, 10, 42.900000, ZIC, 225, 10, 22.500000, ZIP, 600, 10, 60.000000, 104, 370, 
1, 000150, 104, 369, GVWY, 446, 10, 44.600000, PRSH, 591, 10, 59.100000, SHVR, 429, 10, 42.900000, ZIC, 225, 10, 22.500000, ZIP, 616, 10, 61.600000, 104, 369, 
1, 000150, 70, 369, GVWY, 480, 10, 48.000000, PRSH, 591, 10, 59.100000, SHVR, 429, 10, 42.900000, ZIC, 225, 10, 22.500000, ZIP, 616, 10, 61.600000, 70, 369, 
1, 000150, 74, 90, GVWY, 511, 10, 51.100000, PRSH, 591, 10, 59.100000, SHVR, 435, 10, 43.500000, ZIC, 225, 10, 22.500000, ZIP, 616, 10, 61.600000, 74, 90, 
1, 000150, 72, 90, GVWY, 535, 10, 53.500000, PRSH, 591, 10, 59.100000, SHVR, 436, 10, 43.600000, ZIC, 225, 10, 22.500000, ZIP, 616, 10, 61.600000, 72, 90, 
1, 000150, 72, 105, GVWY, 535, 10, 53.500000, PRSH, 591, 10, 59.100000, SHVR, 436, 10, 43.600000, ZIC, 225, 10, 22.500000, ZIP, 699, 10, 69.900000, 72, 105, 
1, 000151, 94, 107, GVWY, 535, 10, 53.500000, PRSH, 591, 10, 59.100000, SHVR, 436, 10, 43.600000, ZIC, 225, 10, 22.500000, ZIP, 762, 10, 76.200000, 94, 107, 
1, 000152, 93, 107, GVWY, 535, 10, 53.500000, PRSH, 641, 10, 64.100000, SHVR, 436, 10, 43.600000, ZIC, 225, 10, 22.500000, ZIP, 762, 10, 76.200000, 93, 107, 
1, 000154, 96, 103, GVWY, 535, 10, 53.500000, PRSH, 641, 10, 64.100000, SHVR, 507, 10, 50.700000, ZIC, 225, 10, 22.500000, ZIP, 762, 10, 76.200000, 96, 103, 
1, 000155, 99, 107, GVWY, 535, 10, 53.500000, PRSH, 674, 10, 67.400000, SHVR, 507, 10, 50.700000, ZIC, 225, 10, 22.500000, ZIP, 762, 10, 76.200000, 99, 107, 
1, 000156, 101, 108, GVWY, 535, 10, 53.500000, PRSH, 715, 10, 71.500000, SHVR, 507, 10, 50.700000, ZIC, 225, 10, 22.500000, ZIP, 762, 10, 76.200000, 101, 108, 
1, 000164, 94, 108, GVWY, 535, 10, 53.500000, PRSH, 747, 10, 74.700000, SHVR, 512, 10, 51.200000, ZIC, 225, 10, 22.500000, ZIP, 762, 10, 76.200000, 94, 108, 
1, 000165, 74, 108, GVWY, 535, 10, 53.500000, PRSH, 747, 10, 74.700000, SHVR, 512, 10, 51.200000, ZIC, 265, 10, 26.500000, ZIP, 763, 10, 76.300000, 74, 108, 
1, 000180, 81, 106, GVWY, 543, 10, 54.300000, PRSH, 747, 10, 74.700000, SHVR, 512, 10, 51.200000, ZIC, 265, 10, 26.500000, ZIP, 797, 10, 79.700000, 81, 106, 
1, 000180, 82, 106, GVWY, 587, 10, 58.700000, PRSH, 747, 10, 74.700000, SHVR, 512, 10, 51.200000, ZIC, 265, 10, 26.500000, ZIP, 798, 10, 79.800000, 82, 106, 
1, 000180, 82, 106, GVWY, 608, 10, 60.800000, PRSH, 747, 10, 74.700000, SHVR, 512, 10, 51.200000, ZIC, 265, 10, 26.500000, ZIP, 802, 10, 80.200000, 82, 106, 
1, 000180, 85, 108, GVWY, 622, 10, 62.200000, PRSH, 747, 10, 74.700000, SHVR, 512, 10, 51.200000, ZIC, 265, 10, 26.500000, ZIP, 817, 10, 81.700000, 85, 108, 
1, 000180, 85, 108, GVWY, 622, 10, 62.200000, PRSH, 789, 10, 78.900000, SHVR, 512, 10, 51.200000, ZIC, 265, 10, 26.500000, ZIP, 817, 10, 81.700000, 85, 108, 
1, 000181, 82, 100, GVWY, 622, 10, 62.200000, PRSH, 789, 10, 78.900000, SHVR, 512, 10, 51.200000, ZIC, 265, 10, 26.500000, ZIP, 888, 10, 88.800000, 82, 100, 
1, 000182, 83, 101, GVWY, 628, 10, 62.800000, PRSH, 789, 10, 78.900000, SHVR, 531, 10, 53.100000, ZIC, 265, 10, 26.500000, ZIP, 888, 10, 88.800000, 83, 101, 
1, 000183, 82, 99, GVWY, 641, 10, 64.100000, PRSH, 789, 10, 78.900000, SHVR, 598, 10, 59.800000, ZIC, 265, 10, 26.500000, ZIP, 888, 10, 88.800000, 82, 99, 
1, 000187, 86, 108, GVWY, 641, 10, 64.100000, PRSH, 789, 10, 78.900000, SHVR, 607, 10, 60.700000, ZIC, 265, 10, 26.500000, ZIP, 937, 10, 93.700000, 86, 108, 
1, 000191, 90, 108, GVWY, 641, 10, 64.100000, PRSH, 796, 10, 79.600000, SHVR, 625, 10, 62.500000, ZIC, 265, 10, 26.500000, ZIP, 937, 10, 93.700000, 90, 108, 
1, 000192, 75, 108, GVWY, 641, 10, 64.100000, PRSH, 821, 10, 82.100000, SHVR, 625, 10, 62.500000, ZIC, 265, 10, 26.500000, ZIP, 937, 10, 93.700000, 75, 108, 
1, 000193, 75, 116, GVWY, 641, 10, 64.100000, PRSH, 829, 10, 82.900000, SHVR, 625, 10, 62.500000, ZIC, 265, 10, 26.500000, ZIP, 941, 10, 94.100000, 75, 116, 
1, 000204, 75, 120, GVWY, 641, 10, 64.100000, PRSH, 858, 10, 85.800000, SHVR, 625, 10, 62.500000, ZIC, 265, 10, 26.500000, ZIP, 941, 10, 94.100000, 75, 120, 
1, 000210, 64, 93, GVWY, 677, 10, 67.700000, PRSH, 858, 10, 85.800000, SHVR, 625, 10, 62.500000, ZIC, 265, 10, 26.500000, ZIP, 964, 10, 96.400000, 64, 93, 
1, 000210, 64, 92, GVWY, 692, 10, 69.200000, PRSH, 858, 10, 85.800000, SHVR, 672, 10, 67.200000, ZIC, 265, 10, 26.500000, ZIP, 964, 10, 96.400000, 64, 92, 
1, 000210, 64, 95, GVWY, 720, 10, 72.000000, PRSH, 858, 10, 85.800000, SHVR, 685, 10, 68.500000, ZIC, 265, 10, 26.500000, ZIP, 964, 10, 96.400000, 64, 95, 
1, 000211, 69, 80, GVWY, 720, 10, 72.000000, PRSH, 858, 10, 85.800000, SHVR, 685, 10, 68.500000, ZIC, 286, 10, 28.600000, ZIP, 964, 10, 96.400000, 69, 80, 
1, 000211, 69, 92, GVWY, 720, 10, 72.000000, PRSH, 858, 10, 85.800000, SHVR, 685, 10, 68.500000, ZIC, 286, 10, 28.600000, ZIP, 1035, 10, 103.500000, 69, 92, 
1, 000211, 85, 92, GVWY, 737, 10, 73.700000, PRSH, 862, 10, 86.200000, SHVR, 685, 10, 68.500000, ZIC, 286, 10, 28.600000, ZIP, 1035, 10, 103.500000, 85, 92, 
1, 000211, 86, 94, GVWY, 737, 10, 73.700000, PRSH, 903, 10, 90.300000, SHVR, 685, 10, 68.500000, ZIC, 286, 10, 28.600000, ZIP, 1036, 10, 103.600000, 86, 94, 
1, 000212, 86, 95, GVWY, 737, 10, 73.700000, PRSH, 927, 10, 92.700000, SHVR, 694, 10, 69.400000, ZIC, 286, 10, 28.600000, ZIP, 1036, 10, 103.600000, 86, 95, 
1, 000212, 87, 101, GVWY, 746, 10, 74.600000, PRSH, 927, 10, 92.700000, SHVR, 694, 10, 69.400000, ZIC, 286, 10, 28.600000, ZIP, 1036, 10, 103.600000, 87, 101, 
1, 000215, 93, 104, GVWY, 746, 10, 74.600000, PRSH, 963, 10, 96.300000, SHVR, 694, 10, 69.400000, ZIC, 286, 10, 28.600000, ZIP, 1037, 10, 103.700000, 93, 104, 
1, 000217, 98, 108, GVWY, 746, 10, 74.600000, PRSH, 1004, 10, 100.400000, SHVR, 694, 10, 69.400000, ZIC, 286, 10, 28.600000, ZIP, 1037, 10, 103.700000, 98, 108, 
1, 000221, 100, 108, GVWY, 746, 10, 74.600000, PRSH, 1004, 10, 100.400000, SHVR, 743, 10, 74.300000, ZIC, 333, 10, 33.300000, ZIP, 1037, 10, 103.700000, 100, 108, 
1, 000240, 101, 120, GVWY, 750, 10, 75.000000, PRSH, 1004, 10, 100.400000, SHVR, 743, 10, 74.300000, ZIC, 333, 10, 33.300000, ZIP, 1037, 10, 103.700000, 101, 120, 
1, 000240, 101, 130, GVWY, 755, 10, 75.500000, PRSH, 1004, 10, 100.400000, SHVR, 743, 10, 74.300000, ZIC, 333, 10, 33.300000, ZIP, 1037, 10, 103.700000, 101, 130, 
1, 000240, 94, 130, GVWY, 761, 10, 76.100000, PRSH, 1004, 10, 100.400000, SHVR, 743, 10, 74.300000, ZIC, 333, 10, 33.300000, ZIP, 1065, 10, 106.500000, 94, 130, 
1, 000240, 77, 130, GVWY, 785, 10, 78.500000, PRSH, 1004, 10, 100.400000, SHVR, 743, 10, 74.300000, ZIC, 333, 10, 33.300000, ZIP, 1066, 10, 106.600000, 77, 130, 
1, 000240, 100, 109, GVWY, 785, 10, 78.500000, PRSH, 1004, 10, 100.400000, SHVR, 743, 10, 74.300000, ZIC, 333, 10, 33.300000, ZIP, 1104, 10, 110.400000, 100, 109, 
1, 000241, 100, 109, GVWY, 836, 10, 83.600000, PRSH, 1004, 10, 100.400000, SHVR, 754, 10, 75.400000, ZIC, 333, 10, 33.300000, ZIP, 1104, 10, 110.400000, 100, 109, 
1, 000241, 100, 108, GVWY, 836, 10, 83.600000, PRSH, 1031, 10, 103.100000, SHVR, 754, 10, 75.400000, ZIC, 333, 10, 33.300000, ZIP, 1152, 10, 115.200000, 100, 108, 
1, 000242, 100, 104, GVWY, 836, 10, 83.600000, PRSH, 1031, 10, 103.100000, SHVR, 825, 10, 82.500000, ZIC, 333, 10, 33.300000, ZIP, 1152, 10, 115.200000, 100, 104, 
1, 000243, 83, 104, GVWY, 836, 10, 83.600000, PRSH, 1031, 10, 103.100000, SHVR, 825, 10, 82.500000, ZIC, 371, 10, 37.100000, ZIP, 1193, 10, 119.300000, 83, 104, 
1, 000243, 93, 104, GVWY, 836, 10, 83.600000, PRSH, 1065, 10, 106.500000, SHVR, 825, 10, 82.500000, ZIC, 371, 10, 37.100000, ZIP, 1196, 10, 119.600000, 93, 104, 
1, 000243, 93, 108, GVWY, 853, 10, 85.300000, PRSH, 1065, 10, 106.500000, SHVR, 845, 10, 84.500000, ZIC, 371, 10, 37.100000, ZIP, 1196, 10, 119.600000, 93, 108, 
1, 000245, 80, 108, GVWY, 853, 10, 85.300000, PRSH, 1108, 10, 110.800000, SHVR, 845, 10, 84.500000, ZIC, 371, 10, 37.100000, ZIP, 1207, 10, 120.700000, 80, 108, 
1, 000270, 77, None, GVWY, 853, 10, 85.300000, PRSH, 1108, 10, 110.800000, SHVR, 845, 10, 84.500000, ZIC, 371, 10, 37.100000, ZIP, 1270, 10, 127.000000, 77, N, 
1, 000270, 104, 1000, GVWY, 878, 10, 87.800000, PRSH, 1108, 10, 110.800000, SHVR, 845, 10, 84.500000, ZIC, 371, 10, 37.100000, ZIP, 1270, 10, 127.000000, 104, 1000, 
1, 000270, 108, 607, GVWY, 939, 10, 93.900000, PRSH, 1113, 10, 111.300000, SHVR, 845, 10, 84.500000, ZIC, 371, 10, 37.100000, ZIP, 1270, 10, 127.000000, 108, 607, 
1, 000270, 104, 386, GVWY, 977, 10, 97.700000, PRSH, 1113, 10, 111.300000, SHVR, 845, 10, 84.500000, ZIC, 371, 10, 37.100000, ZIP, 1270, 10, 127.000000, 104, 386, 
1, 000271, 99, 136, GVWY, 977, 10, 97.700000, PRSH, 1113, 10, 111.300000, SHVR, 845, 10, 84.500000, ZIC, 413, 10, 41.300000, ZIP, 1270, 10, 127.000000, 99, 136, 
1, 000271, 125, 131, GVWY, 977, 10, 97.700000, PRSH, 1113, 10, 111.300000, SHVR, 869, 10, 86.900000, ZIC, 413, 10, 41.300000, ZIP, 1305, 10, 130.500000, 125, 131, 
1, 000272, 112, 129, GVWY, 977, 10, 97.700000, PRSH, 1113, 10, 111.300000, SHVR, 869, 10, 86.900000, ZIC, 413, 10, 41.300000, ZIP, 1372, 10, 137.200000, 112, 129, 
1, 000273, 112, 119, GVWY, 977, 10, 97.700000, PRSH, 1144, 10, 114.400000, SHVR, 869, 10, 86.900000, ZIC, 413, 10, 41.300000, ZIP, 1395, 10, 139.500000, 112, 119, 
1, 000273, 112, 120, GVWY, 977, 10, 97.700000, PRSH, 1158, 10, 115.800000, SHVR, 909, 10, 90.900000, ZIC, 413, 10, 41.300000, ZIP, 1395, 10, 139.500000, 112, 120, 
1, 000275, 96, 113, GVWY, 977, 10, 97.700000, PRSH, 1158, 10, 115.800000, SHVR, 913, 10, 91.300000, ZIC, 413, 10, 41.300000, ZIP, 1395, 10, 139.500000, 96, 113, 
