B00, 0
B01, 0
B02, 0
B03, 0
B04, 2
B08, Blotteritem, {'type': 'Trade', 'time': 60.24000000000382, 'price': 58.0, 'party1': 'S02', 'party2': 'B08', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 240.32000000004913, 'price': 68, 'party1': 'B08', 'party2': 'S02', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 2764.5799999977758, 'price': 70.0, 'party1': 'S05', 'party2': 'B08', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 4296.060000000932, 'price': 75.0, 'party1': 'S06', 'party2': 'B08', 'qty': 1}
B09, 13
B09, Blotteritem, {'type': 'Trade', 'time': 420.57999999990744, 'price': 66, 'party1': 'B09', 'party2': 'S02', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 571.5199999997702, 'price': 76.0, 'party1': 'B09', 'party2': 'S05', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 1053.459999999332, 'price': 83, 'party1': 'B09', 'party2': 'S06', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 1412.4399999990055, 'price': 78, 'party1': 'B09', 'party2': 'S02', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 1562.599999998869, 'price': 77.0, 'party1': 'B09', 'party2': 'S05', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 1983.0799999984865, 'price': 71.0, 'party1': 'B09', 'party2': 'S05', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 2163.6599999983223, 'price': 87.0, 'party1': 'B09', 'party2': 'S05', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 2374.3599999981307, 'price': 81, 'party1': 'B09', 'party2': 'S02', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 2524.2599999979943, 'price': 77.0, 'party1': 'B09', 'party2': 'S05', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 2733.9399999978036, 'price': 76.0, 'party1': 'B09', 'party2': 'S02', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 3244.959999997339, 'price': 80, 'party1': 'B09', 'party2': 'S05', 'qty': 1}
