1, 000090, 147, 156, GVWY, 240, 20, 12.000000, PRSH, 340, 20, 17.000000, SNPR, 0, 20, 0.000000, ZIC, 184, 20, 9.200000, ZIP, 185, 20, 9.250000, 147, 156, 
1, 000091, 150, 161, GVWY, 282, 20, 14.100000, PRSH, 348, 20, 17.400000, SNPR, 0, 20, 0.000000, ZIC, 184, 20, 9.200000, ZIP, 185, 20, 9.250000, 150, 161, 
1, 000091, 150, 161, GVWY, 282, 20, 14.100000, PRSH, 348, 20, 17.400000, SNPR, 0, 20, 0.000000, ZIC, 216, 20, 10.800000, ZIP, 205, 20, 10.250000, 150, 161, 
1, 000092, 149, 161, GVWY, 282, 20, 14.100000, PRSH, 365, 20, 18.250000, SNPR, 0, 20, 0.000000, ZIC, 216, 20, 10.800000, ZIP, 224, 20, 11.200000, 149, 161, 
1, 000092, 149, 161, GVWY, 330, 20, 16.500000, PRSH, 365, 20, 18.250000, SNPR, 0, 20, 0.000000, ZIC, 216, 20, 10.800000, ZIP, 227, 20, 11.350000, 149, 161, 
1, 000092, 149, 167, GVWY, 330, 20, 16.500000, PRSH, 365, 20, 18.250000, SNPR, 0, 20, 0.000000, ZIC, 216, 20, 10.800000, ZIP, 227, 20, 11.350000, 149, 167, 
1, 000092, 149, 167, GVWY, 341, 20, 17.050000, PRSH, 365, 20, 18.250000, SNPR, 0, 20, 0.000000, ZIC, 216, 20, 10.800000, ZIP, 242, 20, 12.100000, 149, 167, 
1, 000093, 149, 167, GVWY, 341, 20, 17.050000, PRSH, 382, 20, 19.100000, SNPR, 0, 20, 0.000000, ZIC, 216, 20, 10.800000, ZIP, 253, 20, 12.650000, 149, 167, 
1, 000095, 149, 167, GVWY, 341, 20, 17.050000, PRSH, 402, 20, 20.100000, SNPR, 0, 20, 0.000000, ZIC, 216, 20, 10.800000, ZIP, 253, 20, 12.650000, 149, 167, 
1, 000099, 131, 167, GVWY, 341, 20, 17.050000, PRSH, 413, 20, 20.650000, SNPR, 0, 20, 0.000000, ZIC, 220, 20, 11.000000, ZIP, 253, 20, 12.650000, 131, 167, 
1, 000120, 116, 161, GVWY, 359, 20, 17.950000, PRSH, 413, 20, 20.650000, SNPR, 0, 20, 0.000000, ZIC, 220, 20, 11.000000, ZIP, 253, 20, 12.650000, 116, 161, 
