B00, 0
B01, 0
B02, 0
B03, 6
B06, Blotteritem, {'type': 'Trade', 'time': 599.000000000003, 'price': 90, 'party1': 'B06', 'party2': 'S01', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 950.5499999996832, 'price': 84, 'party1': 'B06', 'party2': 'S01', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 1172.999999999481, 'price': 82, 'party1': 'B06', 'party2': 'S01', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 1266.349999999396, 'price': 82, 'party1': 'B06', 'party2': 'S01', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 1416.1999999992597, 'price': 81, 'party1': 'B06', 'party2': 'S02', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 1479.549999999202, 'price': 87, 'party1': 'B06', 'party2': 'S01', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 1557.3499999991313, 'price': 85, 'party1': 'B06', 'party2': 'S01', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 1663.9499999990344, 'price': 83, 'party1': 'B06', 'party2': 'S03', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 1685.299999999015, 'price': 101, 'party1': 'B06', 'party2': 'S02', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 1723.64999999898, 'price': 97, 'party1': 'B06', 'party2': 'S00', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 1776.9999999989316, 'price': 96, 'party1': 'B06', 'party2': 'S00', 'qty': 1}
B07, 23
B07, Blotteritem, {'type': 'Trade', 'time': 31.000000000000306, 'price': 88, 'party1': 'S02', 'party2': 'B07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 42.69999999999971, 'price': 93, 'party1': 'S03', 'party2': 'B07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 101.24999999999639, 'price': 97, 'party1': 'B07', 'party2': 'S03', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 131.2999999999956, 'price': 96, 'party1': 'B07', 'party2': 'S00', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 202.70000000001184, 'price': 94, 'party1': 'B07', 'party2': 'S00', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 262.0500000000253, 'price': 94, 'party1': 'B07', 'party2': 'S00', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 303.05000000003463, 'price': 94, 'party1': 'B07', 'party2': 'S00', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 443.2000000000665, 'price': 91, 'party1': 'B07', 'party2': 'S01', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 705.599999999906, 'price': 89, 'party1': 'S02', 'party2': 'B07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 872.3999999997543, 'price': 86, 'party1': 'B07', 'party2': 'S01', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 938.0999999996945, 'price': 85, 'party1': 'B07', 'party2': 'S02', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 1059.3999999995842, 'price': 83, 'party1': 'B07', 'party2': 'S03', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 1113.0999999995354, 'price': 83, 'party1': 'B07', 'party2': 'S01', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 1237.649999999422, 'price': 82, 'party1': 'B07', 'party2': 'S01', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 1296.099999999369, 'price': 83, 'party1': 'S00', 'party2': 'B07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 1353.4499999993168, 'price': 82, 'party1': 'B07', 'party2': 'S01', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 1415.84999999926, 'price': 81, 'party1': 'B07', 'party2': 'S00', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 1462.4499999992177, 'price': 88, 'party1': 'B07', 'party2': 'S02', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 1645.799999999051, 'price': 84, 'party1': 'B07', 'party2': 'S00', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 1679.5999999990202, 'price': 101, 'party1': 'B07', 'party2': 'S03', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 1701.3499999990004, 'price': 100, 'party1': 'S02', 'party2': 'B07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 1750.249999998956, 'price': 98, 'party1': 'S03', 'party2': 'B07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 1769.5999999989383, 'price': 97, 'party1': 'B07', 'party2': 'S00', 'qty': 1}
B08, 22
B08, Blotteritem, {'type': 'Trade', 'time': 26.200000000000237, 'price': 119, 'party1': 'S05', 'party2': 'B08', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 49.34999999999933, 'price': 94, 'party1': 'B08', 'party2': 'S00', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 83.99999999999737, 'price': 98, 'party1': 'B08', 'party2': 'S03', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 120.74999999999528, 'price': 95, 'party1': 'B08', 'party2': 'S00', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 179.80000000000663, 'price': 93, 'party1': 'B08', 'party2': 'S00', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 218.7500000000155, 'price': 94, 'party1': 'B08', 'party2': 'S01', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 299.7500000000339, 'price': 93, 'party1': 'B08', 'party2': 'S01', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 363.90000000004846, 'price': 93, 'party1': 'B08', 'party2': 'S00', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 555.7500000000423, 'price': 91, 'party1': 'B08', 'party2': 'S01', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 704.5999999999069, 'price': 90, 'party1': 'B08', 'party2': 'S01', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 812.3999999998089, 'price': 88, 'party1': 'B08', 'party2': 'S01', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 1054.9499999995883, 'price': 84, 'party1': 'B08', 'party2': 'S01', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 1125.4499999995242, 'price': 83, 'party1': 'B08', 'party2': 'S03', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 1189.1499999994662, 'price': 82, 'party1': 'B08', 'party2': 'S01', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 1295.5499999993694, 'price': 82, 'party1': 'B08', 'party2': 'S01', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 1414.9999999992608, 'price': 81, 'party1': 'B08', 'party2': 'S01', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 1484.4499999991976, 'price': 87, 'party1': 'B08', 'party2': 'S03', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 1558.74999999913, 'price': 85, 'party1': 'B08', 'party2': 'S03', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 1663.4499999990348, 'price': 83, 'party1': 'B08', 'party2': 'S02', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 1670.4999999990284, 'price': 96, 'party1': 'B08', 'party2': 'S04', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 1746.0499999989597, 'price': 97, 'party1': 'B08', 'party2': 'S01', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 1773.6499999989346, 'price': 97, 'party1': 'B08', 'party2': 'S01', 'qty': 1}
B09, 17
B09, Blotteritem, {'type': 'Trade', 'time': 29.90000000000029, 'price': 101, 'party1': 'B09', 'party2': 'S04', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 63.399999999998535, 'price': 98, 'party1': 'B09', 'party2': 'S04', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 102.29999999999633, 'price': 96, 'party1': 'B09', 'party2': 'S01', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 149.44999999999973, 'price': 96, 'party1': 'B09', 'party2': 'S01', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 227.30000000001743, 'price': 94, 'party1': 'B09', 'party2': 'S00', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 370.65000000005, 'price': 92, 'party1': 'B09', 'party2': 'S01', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 729.3499999998844, 'price': 88, 'party1': 'B09', 'party2': 'S01', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 937.549999999695, 'price': 85, 'party1': 'B09', 'party2': 'S00', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 1072.2999999995725, 'price': 83, 'party1': 'B09', 'party2': 'S03', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 1138.2999999995125, 'price': 82, 'party1': 'B09', 'party2': 'S01', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 1296.9499999993682, 'price': 82, 'party1': 'B09', 'party2': 'S02', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 1526.1499999991597, 'price': 85, 'party1': 'B09', 'party2': 'S01', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 1559.3999999991295, 'price': 85, 'party1': 'B09', 'party2': 'S02', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 1622.2499999990723, 'price': 84, 'party1': 'B09', 'party2': 'S01', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 1674.9999999990243, 'price': 100, 'party1': 'B09', 'party2': 'S00', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 1690.4499999990103, 'price': 100, 'party1': 'B09', 'party2': 'S04', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 1713.1999999989896, 'price': 98, 'party1': 'B09', 'party2': 'S01', 'qty': 1}
S00, 31
S00, Blotteritem, {'type': 'Trade', 'time': 9.700000000000003, 'price': 69, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 49.34999999999933, 'price': 94, 'party1': 'B08', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 66.14999999999839, 'price': 98, 'party1': 'B05', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 120.74999999999528, 'price': 95, 'party1': 'B08', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 131.2999999999956, 'price': 96, 'party1': 'B07', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 179.80000000000663, 'price': 93, 'party1': 'B08', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 202.70000000001184, 'price': 94, 'party1': 'B07', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 227.30000000001743, 'price': 94, 'party1': 'B09', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 262.0500000000253, 'price': 94, 'party1': 'B07', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 303.05000000003463, 'price': 94, 'party1': 'B07', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 330.80000000004094, 'price': 93, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 355.95000000004666, 'price': 93, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 363.90000000004846, 'price': 93, 'party1': 'B08', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 555.8000000000422, 'price': 92, 'party1': 'S00', 'party2': 'B04', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 937.549999999695, 'price': 85, 'party1': 'B09', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 1296.099999999369, 'price': 83, 'party1': 'S00', 'party2': 'B07', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 1386.099999999287, 'price': 83, 'party1': 'S00', 'party2': 'B03', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 1415.84999999926, 'price': 81, 'party1': 'B07', 'party2': 'S00', 'qty': 1}
